trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
181,False,"{'a': 0.05, 'e': 0.00011739103691911796}",35,23,19.606194679334685,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.05, 'e': 0.00011166580849011478}",20,2,25.87641856174102,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.05, 'e': 0.00010621980274645875}",20,16,7.830717979612897,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.05, 'e': 0.00010103940183709324}",25,15,16.323033401461363,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.05, 'e': 9.61116520613947e-05}",20,5,30.27283511532456,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.05, 'e': 9.142423147817327e-05}",25,13,20.625796087793688,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.05, 'e': 8.696541909440292e-05}",20,0,31.275612813520848,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
188,False,"{'a': 0.05, 'e': 8.272406555663223e-05}",25,10,27.101733878868036,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.05, 'e': 7.868956527179456e-05}",30,0,46.281437506875754,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
190,False,"{'a': 0.05, 'e': 7.48518298877006e-05}",20,0,29.8711544277635,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
191,False,"{'a': 0.05, 'e': 7.120126306690273e-05}",35,24,16.798568198407846,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.05, 'e': 6.772873649085378e-05}",20,0,29.051278365343904,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.05, 'e': 6.442556703435542e-05}",20,2,27.910038796613026,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.05, 'e': 6.128349505322202e-05}",20,0,2.0438129696993417,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
195,False,"{'a': 0.05, 'e': 5.829466373086881e-05}",20,0,23.953720840878425,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
196,False,"{'a': 0.05, 'e': 5.5451599432176945e-05}",20,9,17.878620415899775,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.05, 'e': 5.274719301551376e-05}",30,18,20.30940978344955,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.05, 'e': 5.017468205617528e-05}",20,10,19.052756339410593,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.05, 'e': 4.772763393680188e-05}",20,16,6.729555434182554,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.05, 'e': 4.5399929762484854e-05}",20,4,27.521255279888383,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.05, 'e': 4.3185749060341275e-05}",20,0,33.82419461532275,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
202,False,"{'a': 0.05, 'e': 4.107955522530065e-05}",30,0,32.89618114520587,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
203,False,"{'a': 0.05, 'e': 3.907608167570808e-05}",20,1,31.40464752923529,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.05, 'e': 3.7170318684126666e-05}",25,9,32.04958795850378,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.05, 'e': 3.535750085040998e-05}",30,7,31.753370785084837,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
